Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,BCS,Dag,Status_Field,Status_FPC,Weight,Lactation,Visit,Date,FEC,TFEC,month,plant,farm,time,tx2,month2,year,time2,Month_year
KAMCHEZERA,Drug,114,4,F,0,0,3,2,0,Borderline,Borderline,38.1,Lactating,1,2020-01-31,,.,January,,D7,0,plantdr,Jan,2020,,January2020
KAMCHEZERA,Drug,115,3,F,0,0,3,1.5,0,Borderline,Borderline,27.2,Pregnant,1,2020-01-31,1500,1500,January,,D7,0,plantdr,Jan,2020,,January2020
KAMCHEZERA,Drug,116,3.5,F,0,0,3,1.5,0,Borderline,Borderline,34.2,Lactating,1,2020-01-31,1400,1400,January,,D7,0,plantdr,Jan,2020,,January2020
KAMCHEZERA,Drug,26065,1,F,0,0,3,2,0,Borderline,Borderline,23.1,Lactating,1,2020-01-31,500,500,January,,D1,0,plantdr,Jan,2020,,January2020
KAMCHEZERA,Drug,26553,1,F,0,0,4,1,0,Sick,Sick,23.1,Lactating,1,2020-01-31,500,500,January,,D6,0,drugdr,Jan,2020,,January2020
KAMCHEZERA,Drug,26077,1.5,F,0,0,2,3.5,0,Healthy,Healthy,34.2,Pregnant,1,2020-01-31,,.,January,,D6,0,nonedr,Jan,2020,,January2020
KAMCHEZERA,Drug,26529,3,F,0,0,3,2,0,Borderline,Borderline,25.9,Lactating,1,2020-01-31,100,100,January,,D4,0,plantdr,Jan,2020,,January2020
MKWINDA,Drug,97890,4.5,F,1,0,3,1,0,Sick,Sick,35.4,Lactating,1,2020-02-04,500,500,February,,D11,0,drugdr,Feb,2020,,February2020
KAMCHEZERA,Drug,26552,1,F,0,0,3,1.5,0,Borderline,Borderline,23.1,Lactating,1,2020-01-31,1700,1700,January,,D6,0,plantdr,Jan,2020,,January2020
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Sick,Sick,23.1,NotLactating,2,2020-02-14,400,450,February,,D3,14,drugdr,Feb,2020,,February2020
KAMCHEZERA,Drug,95341,3,F,0,0,3,2.5,0,Borderline,Borderline,39.5,Lactating,1,2020-01-31,400,400,January,,D2,0,plantdr,Jan,2020,,January2020
KAMCHEZERA,Drug,95463,3,F,0,0,2,2.5,0,Healthy,Healthy,36.7,Lactating,1,2020-01-31,4100,4100,January,,D1,0,nonedr,Jan,2020,,January2020
KAMCHEZERA,Drug,99340,4.5,F,0,0,3,2,0,Borderline,Borderline,39.5,NotLactating,1,2020-01-31,3800,3800,January,,D2,0,plantdr,Jan,2020,,January2020
KAMCHEZERA,Drug,99455,2,F,0,0,3,2.5,0,Borderline,Borderline,25.9,Pregnant,1,2020-01-31,600,600,January,,D2,0,plantdr,Jan,2020,,January2020
MKWINDA,Drug,120,3,F,0,0,3,1.5,0,Borderline,Borderline,31.3,Lactating,1,2020-02-04,650,650,February,,D11,0,plantdr,Feb,2020,,February2020
MKWINDA,Drug,121,3.5,F,0,0,3,2,0,Borderline,Borderline,27.2,Lactating,1,2020-02-04,3600,3600,February,,D11,0,plantdr,Feb,2020,,February2020
MKWINDA,Drug,122,2,F,0,0,2,2,0,Healthy,Healthy,19.1,Lactating,1,2020-02-04,1050,1050,February,,D11,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,123,2,F,1,0,3,1.5,1,Borderline,Borderline,23.1,Lactating,1,2020-02-04,1750,1750,February,,D11,0,plantdr,Feb,2020,,February2020
MKWINDA,Drug,128,4,F,1,0,3,2.5,0,Borderline,Borderline,29.9,NotLactating,1,2020-02-04,5750,5750,February,,D12,0,plantdr,Feb,2020,,February2020
MKWINDA,Drug,132,1.5,F,0,0,2,2,0,Healthy,Healthy,32.6,Pregnant,1,2020-02-04,,.,February,,D14,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,135,4,F,0,0,2,2,0,Healthy,Healthy,31.3,Lactating,1,2020-02-04,1100,1100,February,,D16,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,136,1,F,0,0,2,2,0,Healthy,Healthy,17.7,NotLactating,1,2020-02-04,2650,2650,February,,D16,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,137,4,F,0,0,2,2,0,Healthy,Healthy,28.6,Lactating,1,2020-02-04,850,850,February,,D16,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,26383,1,M,0,0,3,2,0,Borderline,Borderline,27.2,,1,2020-02-04,6050,6050,February,,D15,0,plantdr,Feb,2020,,February2020
MKWINDA,Drug,26437,2,F,0,0,2,2,0,Healthy,Healthy,27.2,Lactating,1,2020-02-04,3150,3150,February,,D13,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,26910,4,F,1,0,3,2,0,Borderline,Borderline,29.9,Lactating,1,2020-02-04,1850,1850,February,,D12,0,plantdr,Feb,2020,,February2020
MKWINDA,Drug,95692,4,F,1,0,2,2.5,0,Healthy,Healthy_Nasal,40.8,Lactating,1,2020-02-04,1650,1650,February,,D12,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,97890,4.5,F,0,0,2,1,0,Sick,Sick,35.4,Lactating,2,2020-02-18,0,0,February,,D11,14,drugdr,Feb,2020,,February2020
MKWINDA,Drug,97895,4,F,0,0,2,2,0,Healthy,Healthy,40.8,Lactating,1,2020-02-04,1200,1200,February,,D11,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,98263,4,F,0,0,2,2,0,Healthy,Healthy,35.4,Pregnant,1,2020-02-04,1100,1100,February,,D15,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,98266,4,F,0,0,2,2.5,0,Healthy,Healthy,39.5,Lactating,1,2020-02-04,1100,1100,February,,D15,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,98580,4,F,0,0,3,1.5,0,Borderline,Borderline,35.4,Lactating,1,2020-02-04,900,950,February,,D13,0,plantdr,Feb,2020,,February2020
MKWINDA,Drug,99081,3,F,1,0,3,2,0,Borderline,Borderline,28.6,NotLactating,1,2020-02-04,2500,2500,February,,D11,0,plantdr,Feb,2020,,February2020
MKWINDA,Drug,99083,4,F,0,0,3,1.5,0,Borderline,Borderline,36.7,Lactating,1,2020-02-04,100,100,February,,D14,0,plantdr,Feb,2020,,February2020
MKWINDA,Drug,99084,4.5,F,0,0,3,2,0,Borderline,Borderline,39.5,Lactating,1,2020-02-04,550,550,February,,D14,0,plantdr,Feb,2020,,February2020
MKWINDA,Drug,99316,3,F,0,0,2,2,0,Healthy,Healthy,35.4,NotLactating,1,2020-02-04,2850,2850,February,,D13,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,99514,4,F,0,0,3,1.5,0,Borderline,Borderline,35.4,Lactating,1,2020-02-04,500,500,February,,D14,0,plantdr,Feb,2020,,February2020
MKWINDA,Drug,99515,2.5,F,0,0,2,2.5,0,Healthy,Healthy,25.9,Lactating,1,2020-02-04,1950,1950,February,,D14,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,17TD6,4,F,0,0,2,2.5,0,Healthy,Healthy,31.1,NotLactating,1,2020-02-04,5700,5700,February,,D12,0,nonedr,Feb,2020,,February2020
MKWINDA,Drug,24TD1,3,F,1,0,3,1.5,0,Borderline,Borderline,29.9,Pregnant,1,2020-02-04,6800,6800,February,,D11,0,plantdr,Feb,2020,,February2020
MAZINGA,Plant,20,4.5,F,1,0,5,1,5,Sick,Sick,28.6,NotLactating,1,2020-01-30,,.,January,mtawa,P4,0,drugpl,Jan,2020,,January2020
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Sick,Sick,23.1,NotLactating,3,2020-02-28,,.,February,,D3,28,drugdr,Feb,2020,,February2020
MAZINGA,Plant,95627,4,F,1,0,2,1,1,Sick,Sick,36.7,Lactating,1,2020-01-30,4300,4300,January,mtawa,P3,0,drugpl,Jan,2020,,January2020
CHINKHOWE,Plant,50,3,F,0,0,2,2,0,Healthy,Healthy,29.9,Lactating,1,2020-02-05,350,350,February,gmelina,P15,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,52,3,F,0,0,3,1.5,0,Borderline,Borderline,29.9,Lactating,1,2020-02-05,2000,2000,February,gmelina,P15,0,plantpl,Feb,2020,,February2020
CHINKHOWE,Plant,53,4,F,0,0,3,2,0,Borderline,Borderline,32.6,Lactating,1,2020-02-05,1900,1900,February,gmelina,P15,0,plantpl,Feb,2020,,February2020
CHINKHOWE,Plant,57,2,F,0,0,2,2,0,Healthy,Healthy,29.9,Pregnant,1,2020-02-05,,.,February,mtawa,P16,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,58,1,F,0,0,3,2,0,Borderline,Borderline,23.1,NotLactating,1,2020-02-05,2900,2900,February,mtawa,P16,0,plantpl,Feb,2020,,February2020
CHINKHOWE,Plant,59,3,F,0,0,2,2,0,Healthy,Healthy,23.1,NotLactating,1,2020-02-05,2500,2500,February,mtawa,P16,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,63,3,F,0,0,3,1.5,0,Borderline,Borderline,24.5,Lactating,1,2020-02-05,3600,3600,February,gmelina,P17,0,plantpl,Feb,2020,,February2020
CHINKHOWE,Plant,64,1,F,0,0,2,2,0,Healthy,Healthy,27.2,Lactating,1,2020-02-05,1550,1550,February,gmelina,P17,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,65,1,F,0,0,2,2,0,Healthy,Healthy,25.9,Pregnant,1,2020-02-05,1600,1700,February,gmelina,P17,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,66,3,F,0,0,2,1.5,0,Borderline,Borderline,35.4,Pregnant,1,2020-02-05,10850,10850,February,gmelina,P17,0,plantpl,Feb,2020,,February2020
CHINKHOWE,Plant,67,1,F,0,0,2,2.5,0,Healthy,Healthy,23.1,Pregnant,1,2020-02-05,,.,February,gmelina,P17,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,68,3,F,0,0,2,1.5,0,Borderline,Borderline,31.3,Lactating,1,2020-02-05,8850,8850,February,gmelina,P17,0,plantpl,Feb,2020,,February2020
MKWINDA,Drug,142,2,F,0,0,2,1,0,Sick,Sick,17.7,NotLactating,1,2020-03-03,0,0,March,,D17,0,drugdr,Mar,2020,,March2020
MKWINDA,Drug,99081,3,F,0,0,3,1,1,Sick,Sick,25.1,NotLactating,3,2020-03-03,12950,12950,March,,D11,28,drugdr,Mar,2020,,March2020
CHINKHOWE,Plant,72,4,F,0,0,3,2,0,Borderline,Borderline,35.4,Lactating,1,2020-02-05,9900,10350,February,gmelina,P18,0,plantpl,Feb,2020,,February2020
CHINKHOWE,Plant,73,3,F,0,0,3,2,0,Borderline,Borderline,27.2,Lactating,1,2020-02-05,3750,3750,February,gmelina,P18,0,plantpl,Feb,2020,,February2020
CHINKHOWE,Plant,79,3,F,0,0,3,2,0,Borderline,Borderline,29.9,NotLactating,1,2020-02-05,6450,6450,February,kakhobo,P19,0,plantpl,Feb,2020,,February2020
KAMCHEZERA,Drug,139,1.5,F,0,0,3,1,0,Sick,Sick,24.5,Lactating,3,2020-03-13,1950,1950,March,,D7,28,drugdr,Mar,2020,,March2020
CHINKHOWE,Plant,80,4,F,0,0,2,1.5,1,Borderline,Borderline,32.6,Pregnant,1,2020-02-05,550,550,February,kakhobo,P19,0,plantpl,Feb,2020,,February2020
CHINKHOWE,Plant,81,3,F,0,0,3,1.5,0,Borderline,Borderline,31.3,Lactating,1,2020-02-05,6400,6400,February,kakhobo,P19,0,plantpl,Feb,2020,,February2020
CHINKHOWE,Plant,86,4,F,0,0,2,2,0,Healthy,Healthy,32.6,Lactating,1,2020-02-05,750,750,February,mtawa,P20,0,nonepl,Feb,2020,,February2020
MKWINDA,Drug,141m,4,F,1,0,4,1,4,Sick,Sick,29.9,NotLactating,2,2020-03-17,2100,2150,March,,D17,14,drugdr,Mar,2020,,March2020
CHINKHOWE,Plant,87,2.5,F,0,0,3,2,0,Healthy,Borderline,28.6,Lactating,1,2020-02-05,,.,February,mtawa,P20,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,91,4,F,0,0,2,2.5,0,Healthy,Healthy,28.6,NotLactating,1,2020-02-05,1750,1750,February,kakhobo,P21,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,93,4.5,F,0,0,2,1.5,0,Borderline,Borderline,35.4,Lactating,1,2020-02-05,17700,17850,February,kakhobo,P21,0,plantpl,Feb,2020,,February2020
CHINKHOWE,Plant,97,4,F,0,0,1,1.5,0,Borderline,Borderline,29.9,Lactating,1,2020-02-05,300,300,February,mtawa,P22,0,plantpl,Feb,2020,,February2020
CHINKHOWE,Plant,98,1.5,F,0,0,2,2,0,Healthy,Healthy,19.1,Lactating,1,2020-02-05,7950,7950,February,mtawa,P22,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,99,3,F,0,0,1,2.5,0,Healthy,Healthy,25.1,Pregnant,1,2020-02-05,2600,2600,February,mtawa,P22,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,300,3,F,0,0,2,2,0,Healthy,Healthy,28.6,Lactating,1,2020-02-05,1250,1250,February,mtawa,P23,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,301,3,M,0,0,2,2.5,0,Healthy,Healthy,35.4,,1,2020-02-05,300,300,February,mtawa,P23,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,302,4,F,0,0,2,2,0,Healthy,Healthy,32.6,Lactating,1,2020-02-05,1700,1800,February,mtawa,P23,0,nonepl,Feb,2020,,February2020
CHINKHOWE,Plant,51,4.5,F,1,0,4,1.5,0,Sick,Sick,32.6,Lactating,1,2020-02-05,2050,2050,February,gmelina,P15,0,drugpl,Feb,2020,,February2020
CHINKHOWE,Plant,74,1,F,0,0,4,2,0,Sick,Sick,23.1,NotLactating,1,2020-02-05,650,650,February,gmelina,P18,0,drugpl,Feb,2020,,February2020
CHINKHOWE,Plant,75,4,F,0,0,4,2,0,Sick,Sick,34.2,Lactating,1,2020-02-05,5200,5200,February,gmelina,P18,0,drugpl,Feb,2020,,February2020
CHINKHOWE,Plant,82,4,F,0,0,4,1.5,0,Sick,Sick,29.9,Lactating,1,2020-02-05,12800,12800,February,kakhobo,P19,0,drugpl,Feb,2020,,February2020
CHINKHOWE,Plant,92,4.5,F,0,1,4,1.5,0,Sick,Sick,28.6,Lactating,1,2020-02-05,19600,19700,February,kakhobo,P21,0,drugpl,Feb,2020,,February2020
MAZINGA,Plant,3,1,F,0,0,2,3,0,Healthy,Healthy,23.1,NotLactating,2,2020-02-13,1050,1250,February,mtawa,P1,14,nonepl,Feb,2020,,February2020
MAZINGA,Plant,6,4.5,F,1,0,2,2.5,0,Healthy,Healthy_Nasal,27.2,Pregnant,2,2020-02-13,700,750,February,mtawa,P2,14,nonepl,Feb,2020,,February2020
MAZINGA,Plant,7,4.5,F,0,0,2,2,0,Healthy,Healthy,32.6,Lactating,2,2020-02-13,0,0,February,mtawa,P2,14,nonepl,Feb,2020,,February2020
MAZINGA,Plant,8,3,F,1,0,2,2.5,0,Healthy,Healthy_Nasal,36.7,Pregnant,2,2020-02-13,0,0,February,mtawa,P2,14,nonepl,Feb,2020,,February2020
MAZINGA,Plant,12,3,F,0,0,2,2.5,0,Healthy,Healthy,29.9,NotLactating,2,2020-02-13,1350,1450,February,mtawa,P3,14,nonepl,Feb,2020,,February2020
MAZINGA,Plant,13,3,F,0,0,2,2,0,Healthy,Healthy,36.7,NotLactating,2,2020-02-13,800,1000,February,mtawa,P3,14,nonepl,Feb,2020,,February2020
MAZINGA,Plant,14,1,F,0,0,3,1.5,0,Borderline,Borderline,20.4,NotLactating,2,2020-02-13,150,150,February,mtawa,P3,14,plantpl,Feb,2020,,February2020
MAZINGA,Plant,18,2,F,0,0,2,1.5,0,Borderline,Borderline,21.8,NotLactating,2,2020-02-13,3150,3200,February,mtawa,P4,14,plantpl,Feb,2020,,February2020
MAZINGA,Plant,19,4,F,0,0,3,2,0,Borderline,Borderline,29.9,Lactating,2,2020-02-13,2500,2500,February,mtawa,P4,14,plantpl,Feb,2020,,February2020
KAMCHEZERA,Drug,138,1,F,0,0,2,2,0,Healthy,Healthy,27.2,Lactating,1,2020-02-14,5200,5200,February,,D7,0,nonedr,Feb,2020,,February2020
KAMCHEZERA,Drug,139,1.5,F,1,0,3,1.5,0,Borderline,Borderline,29.9,Lactating,1,2020-02-14,12750,12750,February,,D7,0,plantdr,Feb,2020,,February2020
KAMCHEZERA,Drug,98481,3,F,0,0,3,2,0,Borderline,Borderline,35.4,Lactating,1,2020-02-14,4700,4700,February,,D7,0,plantdr,Feb,2020,,February2020
KAMCHEZERA,Drug,98880,4,F,0,0,2,2,0,Healthy,Healthy,36.7,Lactating,1,2020-02-14,3350,3350,February,,D7,0,nonedr,Feb,2020,,February2020
KAMCHEZERA,Drug,100,3,F,0,0,2,2,0,Healthy,Healthy,32.6,Lactating,2,2020-02-14,3400,3900,February,,D1,14,nonedr,Feb,2020,,February2020
KAMCHEZERA,Drug,101,2,F,0,0,2,2.5,0,Healthy,Healthy,27.2,Pregnant,2,2020-02-14,,.,February,,D1,14,nonedr,Feb,2020,,February2020
KAMCHEZERA,Drug,105,1,F,1,0,3,2,0,Borderline,Borderline,23.1,Lactating,2,2020-02-14,8200,8200,February,,D3,14,plantdr,Feb,2020,,February2020
KAMCHEZERA,Drug,106,1,F,0,0,3,2,0,Borderline,Borderline,29.9,Pregnant,2,2020-02-14,2850,3150,February,,D3,14,plantdr,Feb,2020,,February2020
KAMCHEZERA,Drug,107,1,F,0,0,2,2,0,Healthy,Healthy,25.9,NotLactating,2,2020-02-14,2700,2700,February,,D3,14,nonedr,Feb,2020,,February2020
MKWINDA,Drug,99083,4,F,0,0,3,1,0,Sick,Sick,31.3,Lactating,4,2020-03-17,850,850,March,,D14,42,drugdr,Mar,2020,,March2020
KAMCHEZERA,Drug,111,1,F,0,0,3,2,0,Borderline,Borderline,31.3,Pregnant,2,2020-02-14,2850,2850,February,,D6,14,plantdr,Feb,2020,,February2020
KAMCHEZERA,Drug,114,4,F,0,0,2,2,0,Healthy,Healthy,38.9,Lactating,2,2020-02-14,1650,1650,February,,D7,14,nonedr,Feb,2020,,February2020
KAMCHEZERA,Drug,115,3,F,0,0,2,1.5,0,Borderline,Borderline,28.6,Lactating,2,2020-02-14,10050,10050,February,,D7,14,plantdr,Feb,2020,,February2020
KAMCHEZERA,Drug,116,3.5,F,0,0,2,1.5,0,Borderline,Borderline,36.7,Lactating,2,2020-02-14,950,950,February,,D7,14,plantdr,Feb,2020,,February2020
KAMCHEZERA,Drug,26065,1,F,0,0,3,1.5,0,Borderline,Borderline,24.5,Lactating,2,2020-02-14,300,300,February,,D1,14,plantdr,Feb,2020,,February2020
KAMCHEZERA,Drug,26075,3,F,0,0,2,1.5,0,Borderline,Borderline,24.5,Lactating,2,2020-02-14,0,0,February,,D5,14,plantdr,Feb,2020,,February2020
KAMCHEZERA,Drug,26077,1.5,F,0,0,1,3,0,Healthy,Healthy,31.3,Pregnant,2,2020-02-14,4100,4100,February,,D6,14,nonedr,Feb,2020,,February2020
KAMCHEZERA,Drug,26529,3,F,0,0,2,2,0,Healthy,Healthy,28.6,Lactating,2,2020-02-14,2300,2400,February,,D4,14,nonedr,Feb,2020,,February2020
KAMCHEZERA,Drug,26549,3,F,0,0,2,2,0,Healthy,Healthy,32.6,Lactating,2,2020-02-14,100,100,February,,D3,14,nonedr,Feb,2020,,February2020
KAMCHEZERA,Drug,26552,1,F,0,0,3,1.5,0,Borderline,Borderline,23.1,Lactating,2,2020-02-14,3400,3400,February,,D6,14,plantdr,Feb,2020,,February2020
KAMCHEZERA,Drug,26553,1,F,0,0,3,1.5,0,Borderline,Borderline,23.1,Lactating,2,2020-02-14,250,250,February,,D6,14,plantdr,Feb,2020,,February2020
KAMCHEZERA,Drug,95341,3,F,0,0,2,2,0,Healthy,Healthy,39.5,Lactating,2,2020-02-14,1900,1900,February,,D2,14,nonedr,Feb,2020,,February2020
KAMCHEZERA,Drug,95463,3,F,0,0,2,2,0,Healthy,Healthy,39.5,Lactating,2,2020-02-14,3500,3500,February,,D1,14,nonedr,Feb,2020,,February2020
KAMCHEZERA,Drug,99340,4.5,F,0,0,2,2.5,0,Healthy,Healthy,45.5,NotLactating,2,2020-02-14,2350,2350,February,,D2,14,nonedr,Feb,2020,,February2020
KAMCHEZERA,Drug,99455,2,F,0,0,2,2,0,Healthy,Healthy,27.2,Pregnant,2,2020-02-14,,.,February,,D2,14,nonedr,Feb,2020,,February2020
MKWINDA,Drug,120,3,F,0,0,3,2,0,Borderline,Borderline,29.9,Lactating,2,2020-02-18,250,250,February,,D11,14,plantdr,Feb,2020,,February2020
MKWINDA,Drug,121,3.5,F,0,0,3,2,0,Borderline,Borderline,29.9,NotLactating,2,2020-02-18,1500,1500,February,,D11,14,plantdr,Feb,2020,,February2020
MKWINDA,Drug,122,2,F,0,0,2,2,0,Healthy,Healthy,21.8,NotLactating,2,2020-02-18,450,450,February,,D11,14,nonedr,Feb,2020,,February2020
MKWINDA,Drug,123,2,F,0,0,2,2,0,Healthy,Healthy,21.8,NotLactating,2,2020-02-18,3800,3800,February,,D11,14,nonedr,Feb,2020,,February2020
MKWINDA,Drug,128,4,F,1,0,3,2,0,Borderline,Borderline,32.6,NotLactating,2,2020-02-18,2050,2050,February,,D12,14,plantdr,Feb,2020,,February2020
MKWINDA,Drug,132,1.5,F,0,0,2,2,0,Healthy,Healthy,31.3,Pregnant,2,2020-02-18,200,250,February,,D14,14,nonedr,Feb,2020,,February2020
MKWINDA,Drug,135,4,F,0,0,2,2,0,Healthy,Healthy,31.3,Lactating,2,2020-02-18,1600,1750,February,,D16,14,nonedr,Feb,2020,,February2020
MKWINDA,Drug,136,1,F,0,0,3,2,0,Borderline,Borderline,21.8,NotLactating,2,2020-02-18,2350,2350,February,,D16,14,plantdr,Feb,2020,,February2020
MKWINDA,Drug,137,4,F,0,0,2,2,0,Healthy,Healthy,27.2,Lactating,2,2020-02-18,200,200,February,,D16,14,nonedr,Feb,2020,,February2020
MKWINDA,Drug,26383,1,M,0,0,2,2.5,0,Healthy,Healthy,29.9,,2,2020-02-18,1300,1300,February,,D15,14,nonedr,Feb,2020,,February2020
